ID,Timestamp,Tweet URL,Group,Collector,Category,Topic,Keywords,Account handle,Account name,Account bio,Account type,Joined,Following,Followers,Location,Tweet,Tweet Translated,Tweet Length,Tweet Type,Date posted,Screenshot,Content type,Likes,Replies,Retweets,Quote Tweets,Views,Rating,Theme,Reasoning,Remarks,Reviewer,Review
10-1,29/03/23 21:26:35,https://twitter.com/Marius_Hancu/status/1404795276368416773?s=20,10,"Tan, Angela Shannen",HLTH,COVID-19 can be cured with Ivermectin,Ivermectin COVID-19 GMA,@Marius_Hancu,Marius Hancu,"Author of Simon and Hiroko. Editor, at: diosper2 at yahoo dot com. Tennis coach and afficionado. Blog http://literaryeditormariushancu.blogspot.ca/2017/",Identified,05/12,0,353,Montreal,"@GMA
 lied four days ago in their clip about Ivermectin.  Dr. Jen is stupid and has definitely never tried to use Ivermectin against Covid-19. How do I know this?  I have 7 (seven)  family members back in Romania who were saved by #Ivermectin and courageous doctors in Jan-May 2021","@GMA
 lied four days ago in their clip about Ivermectin.  Dr. Jen is stupid and has definitely never tried to use Ivermectin against Covid-19. How do I know this?  I have 7 (seven)  family members back in Romania who were saved by #Ivermectin and courageous doctors in Jan-May 2021",281,"Text, URL",15/06/21 21:37,https://drive.google.com/file/d/16pesO5L62bYrOMzRFSICSusbuZzUI3Xx/view?usp=share_link,Emotional,3,3,0,,,,Anecdotal,"Based on a March 17 adivisory from the Department of Heatlh, Ivermectin has not been proven to significantly reduce deaths or improve other clinical outcomes

[https://verafiles.org/articles/vera-files-fact-check-ivermectin-not-yet-proven-be-miracle-d]",,,
10-2,29/03/23 22:05:34,https://twitter.com/Migoytoot/status/1378152893124014081?s=20,10,"Tan, Angela Shannen",HLTH,COVID-19 can be cured with Ivermectin,Ivermectin COVID gumana,@Migoytoot,Migs Bert,period,Anonymous,11/17,543,16,,"Totoong gumana ang Ivermectin, been a covid survivor, drank Ivermectin ayun nawala lahat ng symptoms after 3 days.","It's true Ivermectin works, been a covid survivor, drank Ivermectin and all symptoms went away after 3 days.",114,Text,03/04/21 09:10,,Rational,0,0,0,,,,Anecdotal,"Based on a March 17 adivisory from the Department of Heatlh, Ivermectin has not been proven to significantly reduce deaths or improve other clinical outcomes

[https://verafiles.org/articles/vera-files-fact-check-ivermectin-not-yet-proven-be-miracle-d]",,,
10-3,29/03/23 22:20:58,https://twitter.com/lucky166345582/status/1479500994308636675,10,"Tan, Angela Shannen",HLTH,COVID-19 can be cured with Ivermectin,Ivermectin COVID 19 gamot,@lucky166345582,lucky1,im kind and honest,Anonymous,05/23,120,3,,Ito ang tunay na gamot sa covid 19!!!!! Clearances sa Ph Ivermectin clinical trial asahan ngayong buwan —DOST exec https://remate.ph/clearances-sa-ph-ivermectin-clinical-trial-asahan-ngayong-buwan-dost-exec/ via @RematePh,This is the true cure to covid 19!!! Clearances in the Philippines Ivermectin clinical trial expected this month —DOST exec https://remate.ph/clearances-sa-ph-ivermectin-clinical-trial-asahan-ngayong-buwan-dost-exec/ via @RematePh,221,"Text, URL",18/01/22 01:11,,Rational,0,0,0,,,,Factual,"According to a Reuters fact-check article, Ivermectin is demonstratively not an effective treatment against Covid-19   

[https://www.reuters.com/article/factcheck-ivermectinabstract-misleading-idUSL2N2VC2JZ]","Fake location: ""Anywhere""",,
10-4,29/03/23 22:28:35,https://twitter.com/AngeliPV/status/1551761834134233088?s=20,10,"Tan, Angela Shannen",HLTH,COVID-19 can be cured with Ivermectin,Ivermectin vaccinated,@AngeliPV,Angeli Pangilinan Valenciano,Wife.Mom.I love my family& I live for the Lord Jesus' purpose in my life.I thank Him that His power is made perfect in my weakness. He is coming soon.,Identified,07/10,4239,300223,"Manila, Philippines","I don’t understand why some staff and friends, both vaccinated and unvaccinated who took Ivermectin never got serious coughs and long Covid while some who were double vaccinated with boosters even got it worse ! What kind of science do we have now? Ivermectin won a Nobel prize!","I don’t understand why some staff and friends, both vaccinated and unvaccinated who took Ivermectin never got serious coughs and long Covid while some who were double vaccinated with boosters even got it worse ! What kind of science do we have now? Ivermectin won a Nobel prize!",278,Text,26/07/22 10:50,,Emotional,126,71,147,,,,Anecdotal,"The Nobel Prize in fact was not awarded for Ivermectin curing Covid 19, rather it was actually awarded to two scientiests for their discoveries involving the drug for treating parasitic infections.

[https://www.reuters.com/article/factcheck-nobel-ivermectin-idUSL1N2QB2XA]",,,
10-5,29/03/23 23:04:50,https://twitter.com/anabashode/status/1379457442296127490?s=20,10,"Tan, Angela Shannen",HLTH,COVID-19 can be cured with Ivermectin,Ivermectin gumaling,@anabashode,ana⁷ 💜🙏🍍🍇✨🍀,"🇵🇭🔞💜 Bangtan, Mamamoo, TXT, Eric Nam, Din Djarin, Pop Culture most of the time.",Anonymous,06/10,3369,1029,,"i sent the link, sawi ako. gumaling kapatid niya sa ivermectin!","i sent the link, I'm unfortunate. their sister got better from ivermectin!",63,"Text, Reply",04/06/21 23:34,,Emotional,0,1,0,,,,Anecdotal,"Based on a March 17 adivisory from the Department of Heatlh, Ivermectin has not been proven to significantly reduce deaths or improve other clinical outcomes

[https://verafiles.org/articles/vera-files-fact-check-ivermectin-not-yet-proven-be-miracle-d]","Fake location: ""nolite bastardes carborundorum""",,
10-6,29/03/23 23:08:54,https://twitter.com/jojo_castaneda/status/1378087953705000962?s=20,10,"Tan, Angela Shannen",HLTH,COVID-19 can be cured with Ivermectin,Ivermectin gumaling,@jojo_castaneda,Jojo Castaneda,The most common elements in the universe are Hydrogen and Stupidity !,Identified,05/17,1153,422,,"Madami  na ako na bigyan ng Ivermectin na gumaling sa Covid19 at sinasabi nila na in 24 hours May improvement agad tangal fever at ubo ! 

Luckily I was able to find Dr. Allan Landrito and bought several bottles at P35/capsule last February & my family and children are safe","I have given many people Ivermectin that have gotten better from Covid19 and they say that in 24 hours there is an improvement immediately fever and cough gone !

Luckily I was able to find Dr. Allan Landrito and bought several bottles at P35/capsule last February & my family and children are safe",274,"Text, Reply",03/04/21 04:52,,Rational,3,1,0,,,,Anecdotal,"Based on a March 17 adivisory from the Department of Heatlh, Ivermectin has not been proven to significantly reduce deaths or improve other clinical outcomes

[https://verafiles.org/articles/vera-files-fact-check-ivermectin-not-yet-proven-be-miracle-d]",No location,,
10-7,29/03/23 23:16:18,https://twitter.com/seddasa/status/1479952771994599433?s=20,10,"Tan, Angela Shannen",HLTH,COVID-19 can be cured with Ivermectin,Ivermectin gumaling COVID,@seddasa,sed dasa,,Identified,04/09,980,123,,"Sa 1 tablet of Ivermectin guminhawa kaagad ang ubo ng ate ko at nakatulog agad ng mahimbing. If pwede lang dito sa Canada ang Ivermectin,  siguro gumaling kaagad ang covid ko na 10 days na ako inuubo.","From 1 tablet of Ivermectin the coughs of my older sister got better and she was able to sleep soundly. If only Ivermectin was allowed in here in Canada, maybe I would have gotten better immediately from my covid where it was 10 days that I was coughing.",200,"Text, Reply",09/01/22 07:06,,Rational,1,0,0,,,,Anecdotal,"Based on a March 17 adivisory from the Department of Heatlh, Ivermectin has not been proven to significantly reduce deaths or improve other clinical outcomes

[https://verafiles.org/articles/vera-files-fact-check-ivermectin-not-yet-proven-be-miracle-d]",No account bio; No location,,
10-8,29/03/23 23:20:55,https://twitter.com/CadaSam/status/1480884426057781250?s=20,10,"Tan, Angela Shannen",HLTH,COVID-19 can be cured with Ivermectin,Ivermectin effective,@CadaSam,S A M🔬💉⚛️💟💙,MedicalTechnologist Student✖️Varsity | Batang Pinoy National Championship Athlete🏸|Ig: @samcadadevilla,Identified,06/15,111,23,,ingat po kayo super effective po ng papakuluan yung luya yun po yung pinaka water niyo then mag-steam po ako po personally nagtake ng ivermectin effective po samin nagnegative po kami after taking iver po stay safe po mga ate❤️,take care it is super effective to boil ginger that is your drinking water then steam it personally I took ivermectin it was effective for us we got negative after taking ivermectin stay safe everyone❤️,227,"Text, Reply",11/01/22 20:48,,Emotional,0,0,0,,,,Anecdotal,"According to a Reuters fact-check article, Ivermectin is demonstratively not an effective treatment against Covid-19   

[https://www.reuters.com/article/factcheck-ivermectinabstract-misleading-idUSL2N2VC2JZ]",No location,,
10-9,29/03/23 23:24:35,https://twitter.com/avococaine/status/1384331538209284098?s=20,10,"Tan, Angela Shannen",HLTH,COVID-19 can be cured with Ivermectin,Ivermectin uminom vaccinated,@avococaine,❤️‍🔥🥑 kevin castro 🥑❤️‍🔥,"cake ass. Artist. Guitarist @okclubph
. also @kevsuxatusernam
. sometimes im wrong so let me know when i am. let them eat cake. avococaine# 4008",Identified,12/16,1480,376,,TANGINA UMINOM NA NGA AKO NG IVERMECTIN PARA WALA NANG GULO CAN U FUCKING LET IT GOT AND LET ME GET VACCINATED IN 8-ISH MONTHS??,TANGINA I DRANK IVERMECTIN SO THAT THERE WILL BE NO MORE TROUBLE CAN YOU FUCKING LET IT GO AND LET ME GET VACCINATED IN 8-ISH MONTHS??,128,Text,20/04/21 10:22,,Emotional,0,0,0,,,,None,"According to a Reuters fact-check article, Ivermectin is demonstratively not an effective treatment against Covid-19   

[https://www.reuters.com/article/factcheck-ivermectinabstract-misleading-idUSL2N2VC2JZ]","Fake location: ""he/they, bi, not into you tho""",,
10-10,29/03/23 23:31:30,https://twitter.com/FredBuc78494423/status/1434166132060012550?s=20,10,"Tan, Angela Shannen",HLTH,COVID-19 can be cured with Ivermectin,Ivermectin works Philippines,@FredBuc78494423,Fred Buck,Ex C level...now live in the Philippines (5 years) and for 7 years in China before that. Advice: Before you judge explore and experience for yourself.,Identified,03/20,7,11,,"I live in the Philippines...most people here are very skeptical about vaccines. Ivermectin is available and being used very successfully. Also in Mexico, India, and other 3rd world countries. It works on all Corona viruses and variants at all stages. The government lies...money!","I live in the Philippines...most people here are very skeptical about vaccines. Ivermectin is available and being used very successfully. Also in Mexico, India, and other 3rd world countries. It works on all Corona viruses and variants at all stages. The government lies...money!",279,"Text, Reply",04/09/21 22:47,,Rational,2,0,0,,,,Factual,"According to a Reuters fact-check article, Ivermectin is demonstratively not an effective treatment against Covid-19   

[https://www.reuters.com/article/factcheck-ivermectinabstract-misleading-idUSL2N2VC2JZ]",No location,,
