,ID,Timestamp,Tweet URL,Keywords,Account handle,Account name,Account type,Joined,Following,Followers,Tweet,Tweet Translated,Tweet Length,Tweet Type,Date posted,Content type,Likes,Replies,Retweets,Theme,Stemmed,Lemmatized
0,10-1,29/03/23 21:26:35,https://twitter.com/Marius_Hancu/status/1404795276368416773?s=20,Ivermectin COVID-19 GMA,@Marius_Hancu,Marius Hancu,Identified,05/12,0,353,"@GMA
 lied four days ago in their clip about Ivermectin.  Dr. Jen is stupid and has definitely never tried to use Ivermectin against Covid-19. How do I know this?  I have 7 (seven)  family members back in Romania who were saved by #Ivermectin and courageous doctors in Jan-May 2021",GMA lied four days ago in their clip about Ivermectin  Dr Jen is stupid and has definitely never tried to use Ivermectin against Covid-19 How do I know this  I have 7 seven  family members back in Romania who were saved by Ivermectin and courageous doctors in Jan-May 2021,281,"Text, URL",15/06/21 21:37,Emotional,3,3,0,0,"['gma', 'lie', 'four', 'day', 'ago', 'clip', 'ivermectin', 'dr', 'jen', 'stupid', 'definit', 'never', 'tri', 'use', 'ivermectin', 'covid-19', 'how', 'i', 'know', 'i', '7', 'seven', 'famili', 'member', 'back', 'romania', 'save', 'ivermectin', 'courag', 'doctor', 'jan-may', '2021']","['gma', 'lied', 'four', 'day', 'ago', 'clip', 'ivermectin', 'dr', 'jen', 'stupid', 'definitely', 'never', 'tried', 'use', 'ivermectin', 'covid-19', 'how', 'i', 'know', 'i', '7', 'seven', 'family', 'member', 'back', 'romania', 'saved', 'ivermectin', 'courageous', 'doctor', 'jan-may', '2021']"
1,10-2,29/03/23 22:05:34,https://twitter.com/Migoytoot/status/1378152893124014081?s=20,Ivermectin COVID gumana,@Migoytoot,Migs Bert,Anonymous,11/17,543,16,"Totoong gumana ang Ivermectin, been a covid survivor, drank Ivermectin ayun nawala lahat ng symptoms after 3 days.",It's true Ivermectin works been a covid survivor drank Ivermectin and all symptoms went away after 3 days,114,Text,03/04/21 09:10,Rational,0,0,0,0,"['it', ""'s"", 'true', 'ivermectin', 'work', 'covid', 'survivor', 'drank', 'ivermectin', 'symptom', 'went', 'away', '3', 'day']","['it', ""'s"", 'true', 'ivermectin', 'work', 'covid', 'survivor', 'drank', 'ivermectin', 'symptom', 'went', 'away', '3', 'day']"
2,10-3,29/03/23 22:20:58,https://twitter.com/lucky166345582/status/1479500994308636675,Ivermectin COVID 19 gamot,@lucky166345582,lucky1,Anonymous,05/23,120,3,Ito ang tunay na gamot sa covid 19!!!!! Clearances sa Ph Ivermectin clinical trial asahan ngayong buwan —DOST exec https://remate.ph/clearances-sa-ph-ivermectin-clinical-trial-asahan-ngayong-buwan-dost-exec/ via @RematePh,This is the true cure to covid 19 Clearances in the Philippines Ivermectin clinical trial expected this month —DOST exec https://remateph/clearances-sa-ph-ivermectin-clinical-trial-asahan-ngayong-buwan-dost-exec/ via RematePh,221,"Text, URL",18/01/22 01:11,Rational,0,0,0,1,"['thi', 'true', 'cure', 'covid', '19', 'clearanc', 'philippin', 'ivermectin', 'clinic', 'trial', 'expect', 'month', '—dost', 'exec', 'httpsskeptical_annoyed_undecided_uneasy_or_hesitant/remateph/clearances-sa-ph-ivermectin-clinical-trial-asahan-ngayong-buwan-dost-exec/', 'via', 'remateph']","['this', 'true', 'cure', 'covid', '19', 'clearance', 'philippine', 'ivermectin', 'clinical', 'trial', 'expected', 'month', '—dost', 'exec', 'httpsskeptical_annoyed_undecided_uneasy_or_hesitant/remateph/clearances-sa-ph-ivermectin-clinical-trial-asahan-ngayong-buwan-dost-exec/', 'via', 'remateph']"
3,10-4,29/03/23 22:28:35,https://twitter.com/AngeliPV/status/1551761834134233088?s=20,Ivermectin vaccinated,@AngeliPV,Angeli Pangilinan Valenciano,Identified,07/10,4239,300223,"I don’t understand why some staff and friends, both vaccinated and unvaccinated who took Ivermectin never got serious coughs and long Covid while some who were double vaccinated with boosters even got it worse ! What kind of science do we have now? Ivermectin won a Nobel prize!",I don’t understand why some staff and friends both vaccinated and unvaccinated who took Ivermectin never got serious coughs and long Covid while some who were double vaccinated with boosters even got it worse  What kind of science do we have now Ivermectin won a Nobel prize,278,Text,26/07/22 10:50,Emotional,126,71,147,0,"['i', '’', 'understand', 'staff', 'friend', 'vaccin', 'unvaccin', 'took', 'ivermectin', 'never', 'got', 'seriou', 'cough', 'long', 'covid', 'doubl', 'vaccin', 'booster', 'even', 'got', 'wors', 'what', 'kind', 'scienc', 'ivermectin', 'nobel', 'prize']","['i', '’', 'understand', 'staff', 'friend', 'vaccinated', 'unvaccinated', 'took', 'ivermectin', 'never', 'got', 'serious', 'cough', 'long', 'covid', 'double', 'vaccinated', 'booster', 'even', 'got', 'worse', 'what', 'kind', 'science', 'ivermectin', 'nobel', 'prize']"
4,10-5,29/03/23 23:04:50,https://twitter.com/anabashode/status/1379457442296127490?s=20,Ivermectin gumaling,@anabashode,ana⁷ 💜🙏🍍🍇✨🍀,Anonymous,06/10,3369,1029,"i sent the link, sawi ako. gumaling kapatid niya sa ivermectin!",i sent the link I'm unfortunate their sister got better from ivermectin,63,"Text, Reply",04/06/21 23:34,Emotional,0,1,0,0,"['sent', 'link', 'i', ""'m"", 'unfortun', 'sister', 'got', 'better', 'ivermectin']","['sent', 'link', 'i', ""'m"", 'unfortunate', 'sister', 'got', 'better', 'ivermectin']"
5,10-6,29/03/23 23:08:54,https://twitter.com/jojo_castaneda/status/1378087953705000962?s=20,Ivermectin gumaling,@jojo_castaneda,Jojo Castaneda,Identified,05/17,1153,422,"Madami  na ako na bigyan ng Ivermectin na gumaling sa Covid19 at sinasabi nila na in 24 hours May improvement agad tangal fever at ubo ! 

Luckily I was able to find Dr. Allan Landrito and bought several bottles at P35/capsule last February & my family and children are safe",I have given many people Ivermectin that have gotten better from Covid19 and they say that in 24 hours there is an improvement immediately fever and cough gone Luckily I was able to find Dr Allan Landrito and bought several bottles at P35/capsule last February & my family and children are safe,274,"Text, Reply",03/04/21 04:52,Rational,3,1,0,0,"['i', 'given', 'mani', 'peopl', 'ivermectin', 'gotten', 'better', 'covid19', 'say', '24', 'hour', 'improv', 'immedi', 'fever', 'cough', 'gone', 'luckili', 'i', 'abl', 'find', 'dr', 'allan', 'landrito', 'bought', 'sever', 'bottl', 'p35/capsul', 'last', 'februari', '&', 'famili', 'children', 'safe']","['i', 'given', 'many', 'people', 'ivermectin', 'gotten', 'better', 'covid19', 'say', '24', 'hour', 'improvement', 'immediately', 'fever', 'cough', 'gone', 'luckily', 'i', 'able', 'find', 'dr', 'allan', 'landrito', 'bought', 'several', 'bottle', 'p35/capsule', 'last', 'february', '&', 'family', 'child', 'safe']"
6,10-7,29/03/23 23:16:18,https://twitter.com/seddasa/status/1479952771994599433?s=20,Ivermectin gumaling COVID,@seddasa,sed dasa,Identified,04/09,980,123,"Sa 1 tablet of Ivermectin guminhawa kaagad ang ubo ng ate ko at nakatulog agad ng mahimbing. If pwede lang dito sa Canada ang Ivermectin,  siguro gumaling kaagad ang covid ko na 10 days na ako inuubo.",From 1 tablet of Ivermectin the coughs of my older sister got better and she was able to sleep soundly If only Ivermectin was allowed in here in Canada maybe I would have gotten better immediately from my covid where it was 10 days that I was coughing,200,"Text, Reply",09/01/22 07:06,Rational,1,0,0,0,"['from', '1', 'tablet', 'ivermectin', 'cough', 'older', 'sister', 'got', 'better', 'abl', 'sleep', 'soundli', 'if', 'ivermectin', 'allow', 'canada', 'mayb', 'i', 'would', 'gotten', 'better', 'immedi', 'covid', '10', 'day', 'i', 'cough']","['from', '1', 'tablet', 'ivermectin', 'cough', 'older', 'sister', 'got', 'better', 'able', 'sleep', 'soundly', 'if', 'ivermectin', 'allowed', 'canada', 'maybe', 'i', 'would', 'gotten', 'better', 'immediately', 'covid', '10', 'day', 'i', 'coughing']"
7,10-8,29/03/23 23:20:55,https://twitter.com/CadaSam/status/1480884426057781250?s=20,Ivermectin effective,@CadaSam,S A M🔬💉⚛️💟💙,Identified,06/15,111,23,ingat po kayo super effective po ng papakuluan yung luya yun po yung pinaka water niyo then mag-steam po ako po personally nagtake ng ivermectin effective po samin nagnegative po kami after taking iver po stay safe po mga ate❤️,take care it is super effective to boil ginger that is your drinking water then steam it personally I took ivermectin it was effective for us we got negative after taking ivermectin stay safe everyone❤️,227,"Text, Reply",11/01/22 20:48,Emotional,0,0,0,0,"['take', 'care', 'super', 'effect', 'boil', 'ginger', 'drink', 'water', 'steam', 'person', 'i', 'took', 'ivermectin', 'effect', 'us', 'got', 'neg', 'take', 'ivermectin', 'stay', 'safe', 'everyonered_heart️']","['take', 'care', 'super', 'effective', 'boil', 'ginger', 'drinking', 'water', 'steam', 'personally', 'i', 'took', 'ivermectin', 'effective', 'u', 'got', 'negative', 'taking', 'ivermectin', 'stay', 'safe', 'everyonered_heart️']"
8,10-9,29/03/23 23:24:35,https://twitter.com/avococaine/status/1384331538209284098?s=20,Ivermectin uminom vaccinated,@avococaine,❤️‍🔥🥑 kevin castro 🥑❤️‍🔥,Identified,12/16,1480,376,TANGINA UMINOM NA NGA AKO NG IVERMECTIN PARA WALA NANG GULO CAN U FUCKING LET IT GOT AND LET ME GET VACCINATED IN 8-ISH MONTHS??,TANGINA I DRANK IVERMECTIN SO THAT THERE WILL BE NO MORE TROUBLE CAN YOU FUCKING LET IT GO AND LET ME GET VACCINATED IN 8-ISH MONTHS,128,Text,20/04/21 10:22,Emotional,0,0,0,2,"['tangina', 'i', 'drank', 'ivermectin', 'so', 'that', 'there', 'will', 'be', 'no', 'more', 'troubl', 'can', 'you', 'fuck', 'let', 'it', 'go', 'and', 'let', 'me', 'get', 'vaccin', 'in', '8-ish', 'month']","['tangina', 'i', 'drank', 'ivermectin', 'so', 'that', 'there', 'will', 'be', 'no', 'more', 'trouble', 'can', 'you', 'fucking', 'let', 'it', 'go', 'and', 'let', 'me', 'get', 'vaccinated', 'in', '8-ish', 'month']"
9,10-10,29/03/23 23:31:30,https://twitter.com/FredBuc78494423/status/1434166132060012550?s=20,Ivermectin works Philippines,@FredBuc78494423,Fred Buck,Identified,03/20,7,11,"I live in the Philippines...most people here are very skeptical about vaccines. Ivermectin is available and being used very successfully. Also in Mexico, India, and other 3rd world countries. It works on all Corona viruses and variants at all stages. The government lies...money!",I live in the Philippinesmost people here are very skeptical about vaccines Ivermectin is available and being used very successfully Also in Mexico India and other 3rd world countries It works on all Corona viruses and variants at all stages The government liesmoney,279,"Text, Reply",04/09/21 22:47,Rational,2,0,0,1,"['i', 'live', 'philippinesmost', 'peopl', 'skeptic', 'vaccin', 'ivermectin', 'avail', 'use', 'success', 'also', 'mexico', 'india', '3rd', 'world', 'countri', 'it', 'work', 'corona', 'virus', 'variant', 'stage', 'the', 'govern', 'liesmoney']","['i', 'live', 'philippinesmost', 'people', 'skeptical', 'vaccine', 'ivermectin', 'available', 'used', 'successfully', 'also', 'mexico', 'india', '3rd', 'world', 'country', 'it', 'work', 'corona', 'virus', 'variant', 'stage', 'the', 'government', 'liesmoney']"
